timestamp,action,price,shares,amount,fee,capital_after,shares_after,portfolio_value
2024-08-26,hold,0.8965687248633347,0,0.0,0.0,3142.932049855308,3924,6661.067726219033
2024-08-27,hold,0.8915779935742624,0,0.0,0.0,3142.932049855308,3924,6641.484096640714
2024-08-28,hold,0.9122667174104607,0,0.0,0.0,3142.932049855308,3924,6722.666648973956
2024-08-29,hold,0.8555541765308926,0,0.0,0.0,3142.932049855308,3924,6500.12663856253
2024-08-30,hold,0.9041908571275443,0,0.0,0.0,3142.932049855308,3924,6690.976973223792
2024-09-03,hold,0.8960243066242272,0,0.0,0.0,3142.932049855308,3924,6658.9314290487755
2024-09-04,hold,0.9145352190456434,0,0.0,0.0,3142.932049855308,3924,6731.568249390413
2024-09-05,hold,0.8897632199577866,0,0.0,0.0,3142.932049855308,3924,6634.362924969662
2024-09-06,hold,0.8560079045495995,0,0.0,0.0,3142.932049855308,3924,6501.907067307937
2024-09-09,hold,0.6963054725077468,0,0.0,0.0,3142.932049855308,3924,5875.234723975706
2024-09-10,hold,0.7152701129478699,0,0.0,0.0,3142.932049855308,3924,5949.65197306275
2024-09-11,hold,0.6923128874764889,0,0.0,0.0,3142.932049855308,3924,5859.56782031305
2024-09-12,hold,0.6752537108732423,0,0.0,0.0,3142.932049855308,3924,5792.62761132191
2024-09-13,hold,0.6124616022263867,0,0.0,0.0,3142.932049855308,3924,5546.231376991649
2024-09-16,hold,0.6708982265020299,0,0.0,0.0,3142.932049855308,3924,5775.536690649273
2024-09-17,hold,0.7082830891431686,0,0.0,0.0,3142.932049855308,3924,5922.234891653101
2024-09-18,hold,0.6857795916904945,0,0.0,0.0,3142.932049855308,3924,5833.931167648809
2024-09-19,hold,0.671987062980245,0,0.0,0.0,3142.932049855308,3924,5779.809284989789
2024-09-20,hold,0.6747092926341347,0,0.0,0.0,3142.932049855308,3924,5790.491314151653
2024-09-23,hold,0.6800629232631614,0,0.0,0.0,3142.932049855308,3924,5811.498960739953
2024-09-24,hold,1.618405834411796,0,0.0,0.0,3142.932049855308,3924,9493.556544087194
2024-09-25,hold,1.5457232303239,0,0.0,0.0,3142.932049855308,3924,9208.35000564629
2024-09-26,hold,1.4046224009238641,0,0.0,0.0,3142.932049855308,3924,8654.670351080551
2024-09-27,hold,1.4877403340669637,0,0.0,0.0,3142.932049855308,3924,8980.825120734073
2024-09-30,hold,1.542456443972551,0,0.0,0.0,3142.932049855308,3924,9195.5311360036
2024-10-01,hold,1.5538897808272172,0,0.0,0.0,3142.932049855308,3924,9240.395549821307
2024-10-02,hold,1.5926356890661248,0,0.0,0.0,3142.932049855308,3924,9392.434493750781
2024-10-03,hold,1.5767561776198458,0,0.0,0.0,3142.932049855308,3924,9330.123290835581
2024-10-04,hold,1.65878527428473,0,0.0,0.0,3142.932049855308,3924,9652.005466148588
2024-10-07,hold,1.6244855406374352,0,0.0,0.0,3142.932049855308,3924,9517.413311316603
2024-10-08,hold,1.6160467810145644,0,0.0,0.0,3142.932049855308,3924,9484.299618556459
2024-10-09,hold,1.5376473700409836,0,0.0,0.0,3142.932049855308,3924,9176.660329896127
2024-10-10,hold,1.6350114214546876,0,0.0,0.0,3142.932049855308,3924,9558.716867643503
2024-10-11,hold,1.643994599316666,0,0.0,0.0,3142.932049855308,3924,9593.966857573905
2024-10-14,hold,1.5862840506376352,0,0.0,0.0,3142.932049855308,3924,9367.510664557389
2024-10-15,hold,1.5231289041924734,0,0.0,0.0,3142.932049855308,3924,9119.689869906573
2024-10-16,hold,1.5704045391913561,0,0.0,0.0,3142.932049855308,3924,9305.19946164219
2024-10-17,hold,1.5208604025572907,0,0.0,0.0,3142.932049855308,3924,9110.788269490116
2024-10-18,hold,1.4989920135641248,0,0.0,0.0,3142.932049855308,3924,9024.976711080933
2024-10-21,hold,1.4831125021178457,0,0.0,0.0,3142.932049855308,3924,8962.665508165734
2024-10-22,hold,1.4149667628419633,0,0.0,0.0,3142.932049855308,3924,8695.261627247171
2024-10-23,hold,1.443549828061925,0,0.0,0.0,3142.932049855308,3924,8807.421575170301
2024-10-24,hold,1.4191407283140225,0,0.0,0.0,3142.932049855308,3924,8711.640267759532
2024-10-25,hold,1.3929168549496442,0,0.0,0.0,3142.932049855308,3924,8608.737788677712
2024-10-28,hold,1.3312137212393556,0,0.0,0.0,3142.932049855308,3924,8366.61469199854
2024-10-29,hold,1.2644290275612422,0,0.0,0.0,3142.932049855308,3924,8104.551554005622
2024-10-30,hold,1.2065368215247065,0,0.0,0.0,3142.932049855308,3924,7877.382537518256
2024-10-31,hold,1.1726908158961187,0,0.0,0.0,3142.932049855308,3924,7744.570811431678
2024-11-01,hold,1.315969318252585,0,0.0,0.0,3142.932049855308,3924,8306.795654678452
2024-11-04,hold,1.6355558396937953,0,0.0,0.0,3142.932049855308,3924,9560.853164813761
2024-11-05,hold,1.600076440889533,0,0.0,0.0,3142.932049855308,3924,9421.632003905836
2024-11-06,hold,1.5375565413622312,0,0.0,0.0,3142.932049855308,3924,9176.303918160702
2024-11-07,hold,1.4393758625898656,0,0.0,0.0,3142.932049855308,3924,8791.04293465794
2024-11-08,hold,1.458522021929142,0,0.0,0.0,3142.932049855308,3924,8866.17246390526
2024-11-11,hold,1.4324795290055652,0,0.0,0.0,3142.932049855308,3924,8763.981721673146
2024-11-12,hold,1.399631669634792,0,0.0,0.0,3142.932049855308,3924,8635.086721502232
2024-11-13,hold,1.452986872400962,0,0.0,0.0,3142.932049855308,3924,8844.452537156683
2024-11-14,hold,1.4878310242873642,0,0.0,0.0,3142.932049855308,3924,8981.180989158926
2024-11-15,hold,1.5003531976202455,0,0.0,0.0,3142.932049855308,3924,9030.317997317152
2024-11-18,hold,1.454347917998731,0,0.0,0.0,3142.932049855308,3924,8849.79328008233
2024-11-19,hold,1.4194129374335764,0,0.0,0.0,3142.932049855308,3924,8712.708416344662
2024-11-20,hold,1.2146126818076228,0,0.0,0.0,3142.932049855308,3924,7909.07221326842
2024-11-21,hold,1.1409317930035607,0,0.0,0.0,3142.932049855308,3924,7619.948405601281
2024-11-22,hold,1.1417484203622221,0,0.0,0.0,3142.932049855308,3924,7623.152851356667
2024-11-25,hold,1.1820370315564035,0,0.0,0.0,3142.932049855308,3924,7781.245361682635
2024-11-26,hold,1.1448335493560662,0,0.0,0.0,3142.932049855308,3924,7635.258897528512
2024-11-27,hold,1.084400632564794,0,0.0,0.0,3142.932049855308,3924,7398.120132039559
2024-11-29,hold,1.0983746801741965,0,0.0,0.0,3142.932049855308,3924,7452.954294858855
2024-12-02,hold,1.0081790330059952,0,0.0,0.0,3142.932049855308,3924,7099.026575370834
2024-12-03,hold,1.0397565369994002,0,0.0,0.0,3142.932049855308,3924,7222.936701040954
2024-12-04,hold,1.083493314985732,0,0.0,0.0,3142.932049855308,3924,7394.55981785932
2024-12-05,hold,1.2000942159591128,0,0.0,0.0,3142.932049855308,3924,7852.101753278866
2024-12-06,hold,1.3679633369626343,0,0.0,0.0,3142.932049855308,3924,8510.820184096685
2024-12-09,hold,1.3886520607988326,0,0.0,0.0,3142.932049855308,3924,8592.002736429928
2024-12-10,hold,1.4714977848223783,0,0.0,0.0,3142.932049855308,3924,8917.08935749832
2024-12-11,hold,1.381029928534623,0,0.0,0.0,3142.932049855308,3924,8562.09348942517
2024-12-12,hold,1.3763114063651045,0,0.0,0.0,3142.932049855308,3924,8543.578008431978
2024-12-13,hold,1.3723189597921985,0,0.0,0.0,3142.932049855308,3924,8527.911648079895
2024-12-16,hold,1.399177941616085,0,0.0,0.0,3142.932049855308,3924,8633.306292756824
2024-12-17,hold,1.3493617343208175,0,0.0,0.0,3142.932049855308,3924,8437.827495330195
2024-12-18,hold,1.3401062088809335,0,0.0,0.0,3142.932049855308,3924,8401.50881350409
2024-12-19,hold,1.2791288738505537,0,0.0,0.0,3142.932049855308,3924,8162.233750844881
2024-12-20,hold,1.203542382751263,0,0.0,0.0,3142.932049855308,3924,7865.632359771264
2024-12-23,hold,1.212797908191147,0,0.0,0.0,3142.932049855308,3924,7901.951041597369
2024-12-24,hold,1.1732352341352263,0,0.0,0.0,3142.932049855308,3924,7746.707108601936
2024-12-26,hold,1.1399336467457462,0,0.0,0.0,3142.932049855308,3924,7616.031679685616
2024-12-27,hold,1.1427465666200365,0,0.0,0.0,3142.932049855308,3924,7627.069577272331
2024-12-30,hold,1.111985689985293,0,0.0,0.0,3142.932049855308,3924,7506.363897357597
2024-12-31,hold,1.115070818979137,0,0.0,0.0,3142.932049855308,3924,7518.4699435294415
2025-01-02,hold,1.1031838925641158,0,0.0,0.0,3142.932049855308,3924,7471.825644276898
2025-01-03,hold,0.8745189554293675,0,0.0,0.0,3142.932049855308,3924,6574.544430960146
2025-01-06,hold,0.8801447951779481,0,0.0,0.0,3142.932049855308,3924,6596.620226133577
2025-01-07,hold,0.9498330989507525,0,0.0,0.0,3142.932049855308,3924,6870.077130138061
2025-01-08,hold,0.9558219764976393,0,0.0,0.0,3142.932049855308,3924,6893.577485632044
2025-01-10,hold,0.9168037206808262,0,0.0,0.0,3142.932049855308,3924,6740.46984980687
2025-01-13,hold,0.9310499774097825,0,0.0,0.0,3142.932049855308,3924,6796.372161211295
