date,price,capital,shares,portfolio_value
2024-09-27,1.4058896303969424,6139.369306663275,0.0,6139.369306663275
2024-09-30,1.4890320067343297,4842.369306663275,862.3253188600494,6126.399306663275
2024-10-01,1.5437642074695914,3877.369306663275,1481.1698259275695,6163.946269114222
2024-10-02,1.5552009066224226,3131.369306663275,1956.053808347537,6173.425962807607
2024-10-03,1.5939582091985944,2533.369306663275,2327.4688157068917,6243.257332113006
2024-10-04,1.5780740279299463,2061.369306663275,2623.57659755345,6201.567395547192
2024-10-07,1.660127247585757,1674.369306663275,2854.3601116227283,6412.970302390088
2024-10-08,1.6258174271254022,1375.369306663275,3036.428525370374,6312.047719431115
2024-10-09,1.6173761858450453,1124.369306663275,3190.0662518156714,6283.906493617906
2024-10-10,1.5389537192929386,918.369306663275,3322.5848567895096,6031.673629685886
2024-10-11,1.63634640337754,6300.900089184226,0.0,6300.900089184226
2024-10-14,1.645332222998685,5157.900089184226,687.745601880736,6289.470089184226
2024-10-15,1.5876047028900184,4226.900089184226,1268.2994376826764,6240.458241122009
2024-10-16,1.5244309838762609,6141.000699224174,0.0,6141.000699224174
2024-10-17,1.57172052162137,4945.000699224174,753.3400396010335,6129.040699224174
2024-10-18,1.522161815123597,4011.0006992241742,1360.8050218472995,6082.366141308566
2024-10-21,1.5002869951081388,6032.182795607971,0.0,6032.182795607971
2024-10-22,1.4844028138394905,4838.182795607971,796.3202366496032,6020.24279560797
2024-10-23,1.4162370343691275,3870.1827956079705,1472.9866256392756,5956.281005968727
2024-10-24,1.4448285052530667,5977.113729542321,0.0,5977.113729542321
2024-10-25,1.4204122273145505,4749.113729542321,855.8923787205464,5964.833729542322
2024-10-28,1.394180642073717,3756.1137295423214,1561.0162129876558,5932.452315652934
2024-10-29,1.3324593628005106,5815.304491336332,0.0,5815.304491336332
2024-10-30,1.2656550291821183,4519.304491336332,1013.7359473292782,5802.344491336332
2024-10-31,1.2077457982944295,5731.396468993621,0.0,5731.396468993621
2024-11-01,1.1738898392844215,4322.396468993621,1188.280154848523,5717.306468993621
2024-11-04,1.317210476763092,3229.396468993621,2009.766180877616,5876.681538289764
2024-11-05,1.6368909817183281,2501.396468993621,2450.0642875013227,6511.884605834677
2024-11-06,1.6014011491868858,2048.396468993621,2730.112793915666,6420.402234579988
2024-11-07,1.5388628639034276,1669.396468993621,2973.9356899002078,6245.8756618180705
2024-11-08,1.4406533123076437,5910.962668215826,0.0,5910.962668215826
2024-11-11,1.459805102120091,4692.962668215826,826.0143756510881,5898.782668215826
2024-11-12,1.4337549506601408,3738.962668215826,1484.7461900138874,5867.724868622019
2024-11-13,1.4008974314412674,2964.962668215826,2031.7241362948357,5811.199792148489
2024-11-14,1.4542683248236281,5890.088003847117,0.0,5890.088003847117
2024-11-15,1.4891227236247713,4687.088003847117,799.7796159479602,5878.058003847117
2024-11-18,1.501648579459179,3753.088003847117,1415.5428595245749,5878.735928015779
2024-11-19,1.4556297706755987,3011.088003847117,1920.190411256813,5806.174331838355
2024-11-20,1.4206845164849446,5711.792941962774,0.0,5711.792941962774
2024-11-21,1.2158240335139507,4517.792941962774,972.2295064225975,5699.852941962774
2024-11-22,1.142121476747125,5617.093099579155,0.0,5617.093099579155
2024-11-25,1.1429383442583074,4157.093099579155,1264.6351461224015,5602.493099579155
2024-11-26,1.1832388034654717,3077.093099579155,2168.2566271527103,5642.658476697407
